"PropertyName","PropType","Property","ANSISCode","Procedure_Identifier","Result_Type","Unit","Collection","Notation","Part_of_soil_fraction","LabCode"
"Presence or absence of Carbonates","Chemical Properties","Carbonate","3-4-4","http://anzsoil.org/def/au/scm/19C1","code - presence/absence","0","Chemical","0","Carbonate concretions > nodules, threads and masses","19C1"
"Proportion of clay","Physical Properties","Particle size analysis","4-1-2","http://anzsoil.org/def/au/spm/spmile/517","number",NA,NA,NA,NA,"517"
"Proportion of sand","Physical Properties","Particle size analysis","4-1-0","http://anzsoil.org/def/au/spm/spmile/517","number",NA,NA,NA,NA,"517"
"Proportion of silt","Physical Properties","Particle size analysis","4-1-1","http://anzsoil.org/def/au/spm/spmile/517","number",NA,NA,NA,NA,"517"
"Purpose","Profile","Profile","1-0",NA,"code",NA,NA,NA,NA,NA
"Relief","Site","Landform","0-4-0","http://anzsoil.org/def/au/asls/landform/Relief","code",NA,NA,NA,NA,"Relief"
"Residual Quick Neutralising Capacity","Chemical Properties","Acid neutralising capacity","3-33-2","http://anzsoil.org/def/au/scm/20J1","number","MOL-PER-M3","Chemical","RQNCD-B","fine soil fraction (<2mm)","20J1"
"Slope","Site","Landform","0-4-1","http://anzsoil.org/def/au/asls/landform/slope-value","number",NA,NA,NA,NA,"slope-value"
"Soil Colour","Layer/Horizon","Layer/Horizon","2-7","http://anzsoil.org/def/au/asls/soil-profile/colour","code",NA,NA,NA,NA,"colour"
"Soil strength characteristic","Physical Properties","Soil strength characteristic","4-4-6","http://anzsoil.org/def/au/spm/spmile/520.01","number","MegaPA","Physical","0","whole soil (including fine earth and coarse fragments)","520.01"
"Soil Structure","Layer/Horizon","Layer/Horizon","2-2","http://anzsoil.org/def/au/asls/soil-profile/structure","code",NA,NA,NA,NA,"structure"
"Soil water characteristic","Physical Properties","Soil water characteristic","4-3-1","http://anzsoil.org/def/au/spm/spmile/504.02","number","GM-PER-GM or GM-PER-KiloGM","Physical","0","whole soil (including fine earth and coarse fragments)","504.02"
"Soil water characteristic","Physical Properties","Soil water characteristic","4-3-1","http://anzsoil.org/def/au/spm/spmile/504.01","number","GM-PER-GM or GM-PER-KiloGM","Physical","0","whole soil (including fine earth and coarse fragments)","504.01"
"Soil water characteristic","Physical Properties","Soil water characteristic","4-3-1","http://anzsoil.org/def/au/spm/spmile/504.03","number","GM-PER-GM or GM-PER-KiloGM","Physical","0","whole soil (including fine earth and coarse fragments)","504.03"
"Substrate","Profile","Profile","1-9","http://anzsoil.org/def/au/asls/substrate/material","code",NA,NA,NA,NA,"material"
"Surface Coarse Fragments","Profile","Profile","1-6","http://anzsoil.org/def/au/asls/land-surface/coarse-fragments","code",NA,NA,NA,NA,"coarse-fragments"
"Surface condition","Profile","Profile","1-5","http://anzsoil.org/def/au/asls/soil-profile/Surface-condition","code",NA,NA,NA,NA,"Surface-condition"
"Texture","Layer/Horizon","Layer/Horizon","2-1","http://anzsoil.org/def/au/asls/soil-profile/field-textures","code",NA,NA,NA,NA,"field-textures"
"Titratable actual acidity","Chemical Properties","Acidity","3-34-0","http://anzsoil.org/def/au/scm/20B1","number","MOL-PER-TONNE","Chemical","TAA","fine soil fraction (<2mm)","20B1"
"Titratable actual acidity","Chemical Properties","Acidity","3-34-0","http://anzsoil.org/def/au/scm/20J1","number","MOL-PER-M3","Chemical","TAAD-B","fine soil fraction (<2mm)","20J1"
"Titratable peroxide acidity","Chemical Properties","Acidity","3-34-1","http://anzsoil.org/def/au/scm/20C1","number","MOL-PER-TONNE","Chemical","TPA","fine soil fraction (<2mm)","20C1"
"Total Sulfidic Acidity","Chemical Properties","Acidity","3-34-2","http://anzsoil.org/def/au/scm/20J1","number","MOL-PER-M3","Chemical","TSAD-B","fine soil fraction (<2mm)","20J1"
"Used Procedure","Profile","Profile","1-1","http://anzsoil.org/def/au/asls/soil-profile/Profile-construction","code",NA,NA,NA,NA,"Profile-construction"
"Volume of coarse fragments","Physical Properties","Coarse fragments","4-2-0","http://anzsoil.org/def/au/asls/soil-profile/coarse-fragments","code",NA,NA,NA,NA,"coarse-fragments"
"Volumetric coarse fragment content","Physical Properties","Coarse fragments","4-2-1","http://anzsoil.org/def/au/spm/spmile/503.06","number","M3-PER-M3 or PERCENT","Physical","Vsc","whole soil (including fine earth and coarse fragments)","503.06"
